area_id,pipe_km,p90_diam,large_share,area_km2,density,readiness
1,7.311573919374167,150.0,0.06682675536672338,0.8062017181748804,9.069161916358194,0.27680309027498995
2,0.25734588171536366,200.0,0.6709892588860829,0.17461264378143354,1.4738101213191017,0.26558246986115336
4,0.02247773082634831,80.0,0.0,0.10073507107258137,0.22313709204764162,0.0047163466048808205
6,0.18739541403652427,100.0,0.0,0.05584204063668225,3.355812429129345,0.0929305806235869
9,4.333089488686407,180.0,0.10342793287509972,0.630431845021418,6.873208456877994,0.2355162215256082
10,0.5918155479073994,150.0,0.0,0.13410847082924413,4.412961718584791,0.1321016147179994
11,4.380707746879823,1000.0,0.9359208406186955,0.9749031413542043,4.493479978733819,0.5998160699475414
12,70.61132718334159,300.0,0.29149949062467695,16.981459279264055,4.158142478930807,0.24533826508480336
15,3.537198431269276,375.0,0.7106960441221227,0.6635139485892495,5.331008396718711,0.41880095518852023
17,0.8715119258286738,150.0,0.27798291525687885,0.9117170038418315,0.9559018008398001,0.12294582058255218
18,3.269232772681893,150.0,0.11892291642825782,1.8755469922346348,1.7430823041051828,0.09630182130078163
20,3.3189826712660495,300.0,0.9848512682499847,1.4410453659333997,2.30317708916559,0.40368359827574296
21,0.2528578501215889,100.0,0.0,1.0695684524029845,0.23641109603924526,0.009419537647940505
22,0.8544375060793195,200.0,0.5423345906062956,0.4281321700776609,1.9957330137661204,0.24095872645047028
23,0.31811405009671545,138.3654774512778,0.0,0.44477786430087657,0.7152200584369066,0.030578291463567712
26,6.55239198598099,258.32770538108036,0.3191410133133446,0.7808159734883813,8.391723797231577,0.35791083635369825
28,4.945062880309526,300.0,0.26764812428043466,1.069287567926336,4.624633287282542,0.25067151238980806
29,5.921208777610515,250.0,0.31919073997569075,1.3247161111338603,4.469794492453476,0.25111946557232717
30,29.05923994911353,150.0,0.13824220613307772,5.874595448839903,4.946594229710245,0.1878604176507888
31,0.12670596102095583,100.0,0.0,2.697786155340103,0.0469666436571146,0.004347826086956522
32,5.426295295625018,250.0,0.920427683662272,2.847640032331842,1.9055411618095557,0.3628416487037296
33,0.2859355153331824,100.0,0.0,0.1673714763723924,1.7083885589740002,0.04882657766627492
34,1.6492461825400557,100.0,0.0,0.3882888986959191,4.247471890335013,0.11680163908422565
35,2.6844608666345344,200.0,0.1383370777909758,1.8212043395856399,1.4740031133712885,0.10579198221873921
36,2.087193768379085,289.8372602622044,0.7786235033173144,0.8165237061417925,2.556194942877305,0.34637964422328144
37,19.234236484040768,150.0,0.021233252634872964,5.748575913533722,3.345913278931936,0.10990510656307143
38,2.7956527270487315,100.0,0.1997705649525882,0.695941738298908,4.017078690929146,0.17056483775689088
39,14.020955466397954,355.85910395261084,0.6071321754951476,2.4701575748331495,5.676138076877553,0.3928103683889452
40,9.140978324689318,200.0,0.136017098824077,0.8397260285608928,10.885667484137606,0.357060331622936
41,3.683653793698156,142.31772717623645,0.0,1.0115719873838505,3.6415142368907447,0.10977875157917308
42,1.9909953266095701,100.0,0.0,0.32850224907812886,6.0608270786482334,0.16534787180360583
43,1.6434644984586613,140.3547066706091,0.0,0.10714995315422855,15.33798615938829,0.4224840692687656
44,0.14395329897871686,200.0,0.621735496886465,0.022552056181916483,6.383156277082477,0.3822368864262103
45,41.995191151659476,450.0,0.4409294871676967,12.493708910055844,3.361306994903547,0.30144348104597396
47,2.834884253678013,118.89044249682392,0.0,0.6654926950731266,4.2598277556848405,0.12123904202866101
48,0.8721674587538523,150.0,0.0,0.08222082498750208,10.607622325444016,0.2979419516670451
49,1.8894014289727614,150.0,0.00410850969394192,0.7135420979146156,2.647918650482837,0.08608132268105492
51,0.09963029214805295,100.0,0.0,0.12493634952569345,0.7974484009360603,0.02443934609104521
52,1.4085597506658618,450.0,0.48189371865747205,0.32950485465440044,4.274776928987049,0.33818770795958175
53,1.585572180641383,465.1940367529854,0.7106314770730088,0.3588625150056197,4.4183276724139136,0.41395515522834603
54,0.9656207431907438,375.0,0.39367925839747764,0.5065430324117978,1.9062955788635456,0.23201123104155713
55,3.514992110029819,800.0,0.9276693647147002,0.22147461871915972,15.870857484066809,0.8584517923992528
56,11.68128123704016,525.0,0.5170608808771521,1.0325132191914868,11.313444728763114,0.5534778773106699
57,1.283651059475624,80.0,0.0,1.7737105694589321,0.7237094267680888,0.018117417289122747
58,1.9757637855859065,250.0,0.28571095590194173,0.2775041654649081,7.119762625097433,0.3120191438768724
59,9.746392627137382,500.0,0.1690333311946046,4.138197071492134,2.355226795330718,0.20380992657355318
60,1.3889763734315566,600.0,0.9761610012922667,1.9763182389429959,0.702810076870226,0.423449689057628
61,1.9823777275086916,420.08242452672937,0.9824710531040823,1.2995116179984385,1.5254790338558355,0.4082542675878853
62,1.1618900823422227,146.46133764546212,0.3475502750511366,0.31313556348907645,3.710501833123003,0.2167915201946355
63,7.817214886159053,200.0,0.22815446825899216,1.894837437139521,4.12553326894367,0.20372263057772844
64,9.096619452582614,200.0,0.18369782371934845,1.1198781605780725,8.122865301602996,0.29740019915315913
65,110.51863388672152,200.0,0.19829069620526663,13.879977485574297,7.962450515613981,0.2974835169604709
66,21.858303085938836,119.47437363636591,0.06510625392443677,2.250408969951706,9.713035887164953,0.28688840409500005
67,3.8585986982078593,294.04474797352935,0.22442334929547209,0.8122689945135761,4.750395157602396,0.23977629340420456
68,7.374344753945138,450.0,0.38660821225310843,1.0655912732884543,6.920425250093909,0.3804300217439667
69,0.8437181286614319,440.23562673501846,0.7397116819613696,2.4342962583956593,0.346596321524764,0.3082471323353363
